#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
132143.39-021745.4 00341-51690-0466 200.430820 -2.295960 1.276 18.493 1.107 0.533 0.576 0.080 0.347 0.087 0 18.338
132127.88-020622.4 00341-51690-0490 200.366180 -2.106240 2.020 18.447 0.903 0.451 1.112 0.092 1.327 0.114 0 18.548
132133.76-021752.8 00341-51690-0491 200.390690 -2.298020 1.657 20.086 0.371 0.311 1.892 0.250 1.849 0.285 1 5.957
132126.39-015426.1 00341-51690-0499 200.359950 -1.907270 2.087 18.879 1.312 0.848 1.560 0.100 1.315 0.107 0 14.357
132307.11-021749.6 00341-51690-0560 200.779630 -2.297130 1.711 18.419 1.537 0.000 1.042 0.109 0.670 0.084 0 19.937
132441.58-015401.8 00341-51690-0637 201.173260 -1.900520 1.429 18.753 0.965 0.873 1.320 0.194 0.902 0.165 0 9.590
161008.75-001315.1 00345-51690-0151 242.536480 -0.220880 1.610 19.086 1.385 0.000 0.806 0.111 0.959 0.189 0 9.058
160809.30-010240.8 00345-51690-0245 242.038770 -1.044680 1.661 18.762 0.918 0.966 2.793 0.216 2.279 0.199 0 10.955
160628.12-001446.2 00345-51690-0273 241.617190 -0.246190 1.418 19.059 1.211 0.000 1.026 0.151 1.131 0.131 0 9.490
161015.01+011124.8 00345-51690-0449 242.562550 1.190240 1.925 18.020 0.575 0.211 0.860 0.069 0.785 0.066 1 27.243
161015.01+011124.8 00345-51690-0449 242.562550 1.190240 1.925 18.020 1.157 0.000 0.505 0.074 0.208 0.057 0 27.243
154952.79-010548.4 00342-51691-0047 237.470000 -1.096800 1.928 18.601 1.056 0.390 1.362 0.095 0.338 0.095 0 18.996
154900.45-005254.8 00342-51691-0099 237.251900 -0.881900 1.764 18.308 0.955 0.383 1.609 0.104 1.328 0.098 0 19.940
